Time[s], RIGHT, LEFT, BACK, FWD, SO
0, 0, 0, 0, 0, 0
3.605901, 1, 1, 1, 0, 0
3.605907, 1, 1, 1, 0, 1
3.606903, 1, 1, 1, 0, 0
3.607233, 1, 1, 1, 0, 1
3.608234, 1, 1, 1, 0, 0
3.608564, 1, 1, 1, 0, 1
3.609564, 1, 1, 1, 0, 0
3.609894, 1, 1, 1, 0, 1
3.610893, 1, 1, 1, 0, 0
3.611223, 1, 1, 1, 0, 1
3.611556, 1, 1, 1, 0, 0
3.611887, 1, 1, 1, 0, 1
3.61222, 1, 1, 1, 0, 0
3.61255, 1, 1, 1, 0, 1
3.612883, 1, 1, 1, 0, 0
3.613213, 1, 1, 1, 0, 1
3.613546, 1, 1, 1, 0, 0
3.613876, 1, 1, 1, 0, 1
3.614209, 1, 1, 1, 0, 0
3.61454, 1, 1, 1, 0, 1
3.614873, 1, 1, 1, 0, 0
3.615203, 1, 1, 1, 0, 1
3.615536, 1, 1, 1, 0, 0
3.615866, 1, 1, 1, 0, 1
3.616199, 1, 1, 1, 0, 0
3.616529, 1, 1, 1, 0, 1
3.616862, 1, 1, 1, 0, 0
3.617192, 1, 1, 1, 0, 1
3.617525, 1, 1, 1, 0, 0
3.617856, 1, 1, 1, 0, 1
3.618855, 1, 1, 1, 0, 0
3.619185, 1, 1, 1, 0, 1
3.620184, 1, 1, 1, 0, 0
3.620514, 1, 1, 1, 0, 1
3.621513, 1, 1, 1, 0, 0
3.621843, 1, 1, 1, 0, 1
3.622843, 1, 1, 1, 0, 0
3.623173, 1, 1, 1, 0, 1
3.623506, 1, 1, 1, 0, 0
3.623836, 1, 1, 1, 0, 1
3.624169, 1, 1, 1, 0, 0
3.624499, 1, 1, 1, 0, 1
3.624832, 1, 1, 1, 0, 0
3.625163, 1, 1, 1, 0, 1
3.625496, 1, 1, 1, 0, 0
3.625826, 1, 1, 1, 0, 1
3.626159, 1, 1, 1, 0, 0
3.626489, 1, 1, 1, 0, 1
3.626822, 1, 1, 1, 0, 0
3.627152, 1, 1, 1, 0, 1
3.627485, 1, 1, 1, 0, 0
3.627816, 1, 1, 1, 0, 1
3.628149, 1, 1, 1, 0, 0
3.628479, 1, 1, 1, 0, 1
3.628812, 1, 1, 1, 0, 0
3.629142, 1, 1, 1, 0, 1
3.629475, 1, 1, 1, 0, 0
3.629805, 1, 1, 1, 0, 1
3.630804, 1, 1, 1, 0, 0
3.631135, 1, 1, 1, 0, 1
3.632134, 1, 1, 1, 0, 0
3.632464, 1, 1, 1, 0, 1
3.633463, 1, 1, 1, 0, 0
3.633793, 1, 1, 1, 0, 1
3.634792, 1, 1, 1, 0, 0
3.635123, 1, 1, 1, 0, 1
3.635456, 1, 1, 1, 0, 0
3.635786, 1, 1, 1, 0, 1
3.636119, 1, 1, 1, 0, 0
3.636449, 1, 1, 1, 0, 1
3.636782, 1, 1, 1, 0, 0
3.637113, 1, 1, 1, 0, 1
3.637446, 1, 1, 1, 0, 0
3.637776, 1, 1, 1, 0, 1
3.638109, 1, 1, 1, 0, 0
3.638439, 1, 1, 1, 0, 1
3.638772, 1, 1, 1, 0, 0
3.639102, 1, 1, 1, 0, 1
3.639435, 1, 1, 1, 0, 0
3.639766, 1, 1, 1, 0, 1
3.640099, 1, 1, 1, 0, 0
3.640429, 1, 1, 1, 0, 1
3.640762, 1, 1, 1, 0, 0
3.641092, 1, 1, 1, 0, 1
3.641425, 1, 1, 1, 0, 0
3.641755, 1, 1, 1, 0, 1
